50000: 		0.00282088 0.00283785 0.0028367 0.0028628 0.00286189 
100000: 		0.00596098 0.00596941 0.00599924 0.00597933 0.0058713 
150000: 		0.00914615 0.00911654 0.00913273 0.00916374 0.00915835 
200000: 		0.0128514 0.0128186 0.0128637 0.0127946 0.0127682 
250000: 		0.0160719 0.0160084 0.0322965 0.0322247 0.0321854 
300000: 		0.0390259 0.0370688 0.0365418 0.036558 0.0365554 
350000: 		0.0432837 0.0432944 0.0432869 0.0327867 0.0432678 
400000: 		0.0489939 0.0489961 0.0489948 0.0504327 0.0504497 
450000: 		0.0571867 0.0572217 0.057224 0.0575694 0.057233 
500000: 		0.0496435 0.0326235 0.0327828 0.0329871 0.0329709 
550000: 		0.0370566 0.0373199 0.0374673 0.0373738 0.0375988 
600000: 		0.0410904 0.0418809 0.0415185 0.0413393 0.0414595 
650000: 		0.0445024 0.0447056 0.0443706 0.044236 0.0441435 
700000: 		0.0479224 0.048057 0.0478748 0.0480527 0.0479978 
750000: 		0.0524641 0.052423 0.0523475 0.0524559 0.0524726 
800000: 		0.054708 0.0548578 0.0550924 0.0695258 0.0562188 
850000: 		0.0602362 0.0601778 0.0595472 0.0598312 0.0715371 
900000: 		0.0632422 0.0632643 0.0620441 0.0620584 0.0618288 
950000: 		0.0659508 0.0661187 0.0659887 0.0660738 0.0658269 
1000000: 		0.0690557 0.0691896 0.0692419 0.0690288 0.0679603 
1050000: 		0.071966 0.0719994 0.0721749 0.0720283 0.072012 
1100000: 		0.0756948 0.0756845 0.0765654 0.0764985 0.0764121 
1150000: 		0.0809117 0.0806472 0.0806383 0.080773 0.0800494 
1200000: 		0.0830971 0.0831759 0.0833461 0.0838286 0.0840124 
1250000: 		0.0876169 0.087902 0.0879695 0.0877614 0.0877363 
